CRMA;LRRC15_CAF;Myeloid_DC;NonResponse_Ivy;TGFB_Mariathasan;ADO;APM_Thompson;APM_Wang;B_cell_Budczies;B_cell_Helmink;Blood_Response;CD8_Jiang;CD8_SF;CYT;IFNG;ImmuneCells;Inflammatory;IRG_Ayers;KDM5A;M1;Macrophage;PDL1;peri_Tcell;Response_Ivy;STAT1;T_cell_inflamed;TIS;TLS;C_ECM;EMT_Thompson;PTEN_loss;T_cell_exclusion;IRG_Yang;IMPRES;MPS
;;;RIPK2;;;;;;;;;;;;;;;;;;;;KLHL6;;;;;;;LYST;;;;
;;;TIMELESS;;;;;;;;;;;;;;;;;;;;MICAL1;;;;;;;CAPN3;;;;
;;;EZH2;;;;;;;;;;;;;;;;;;;;HLA-DOA;;;;;;;MBP;;;;
;;;SPAG5;;;;;;;;;;;;;;;;;;;;CCL22;;;;;;;PIR;;;;
;;;TMEM48;;;;;;;;;;;;;;;;;;;;PLCG2;;;;;;;TAP1;;;;
;;;CKS1B;;;;;;;;;;;;;;;;;;;;PRAM1;;;;;;;LGALS3;;;;
;;;MRPL13;;;;;;;;;;;;;;;;;;;;SH3TC1;;;;;;;TNFRSF14;;;;
;;;RNASEH2A;;;;;;;;;;;;;;;;;;;;PLAC8;;;;;;;WARS;;;;
;;;KPNA2;;;;;;;;;;;;;;;;;;;;TNFRSF1B;;;;;;;GPR56;;;;
;;;UBE2C;;;;;;;;;;;;;;;;;;;;TCF4;;;;;;;UBD;;;;
;;;TXN;;;;;;;;;;;;;;;;;;;;VAMP5;;;;;;;RENBP;;;;
;;;RFC2;;;;;;;;;;;;;;;;;;;;TAPBP;;;;;;;D4S234E;;;;
;;;TACC3;;;;;;;;;;;;;;;;;;;;TNIP1;;;;;;;TYR;;;;
;;;HN1;;;;;;;;;;;;;;;;;;;;LAG3;;;;;;;SILV;;;;
;;;CENPO;;;;;;;;;;;;;;;;;;;;CYTIP;;;;;;;MLANA;;;;
;;;CCNB1;;;;;;;;;;;;;;;;;;;;POU2AF1;;;;;;;CADM1;;;;
;;;RANBP1;;;;;;;;;;;;;;;;;;;;ELMO1;;;;;;;DACT3;;;;
;;;UBE2S;;;;;;;;;;;;;;;;;;;;GNGT2;;;;;;;SLIT2;;;;
;;;NEK2;;;;;;;;;;;;;;;;;;;;PBX4;;;;;;;PCDH18;;;;
;;;CCNE2;;;;;;;;;;;;;;;;;;;;BTLA;;;;;;;DIAPH3;;;;
;;;MRPL15;;;;;;;;;;;;;;;;;;;;LBH;;;;;;;C5orf13;;;;
;;;TROAP;;;;;;;;;;;;;;;;;;;;PTK2B;;;;;;;EFNB2;;;;
;;;CENPF;;;;;;;;;;;;;;;;;;;;AKNA;;;;;;;LOC730994;;;;
